;imdb;metascore;movie;votes;year
1333;9.0;82;The Dark Knight;1857084;-2008
1666;8.8;74;Inception;1646243;-2010
161;8.8;92;The Lord of the Rings: The Fellowship of the Ring;1364653;-2001
497;8.9;94;The Lord of the Rings: The Return of the King;1344333;-2003
2007;8.4;78;The Dark Knight Rises;1264855;-2012
326;8.7;88;The Lord of the Rings: The Two Towers;1216766;-2002
2332;8.6;74;Interstellar;1112865;-2014
0;8.5;67;Gladiator;1091455;-2000
828;8.3;70;Batman Begins;1085872;-2005
2008;8.4;81;Django Unchained;1082683;-2012
2009;8.1;69;The Avengers;1072886;-2012
1501;8.3;69;Inglourious Basterds;999592;-2009
999;8.5;85;The Departed;971717;-2006
1502;7.8;83;Avatar;962613;-2009
1000;8.5;66;The Prestige;954706;-2006
1;8.5;80;Memento;938605;-2000
2171;8.2;75;The Wolf of Wall Street;907355;-2013
1667;8.1;63;Shutter Island;894447;-2010
498;8.0;63;Pirates of the Caribbean: The Curse of the Black Pearl;893958;-2003
829;8.2;62;V for Vendetta;875060;-2005
499;8.1;69;Kill Bill: Vol. 1;815553;-2003
1334;8.4;95;WALL·E;808491;-2008
2333;8.1;76;Guardians of the Galaxy;800966;-2014
500;8.1;90;Finding Nemo;779759;-2003
1335;7.9;79;Iron Man;762748;-2008
2010;7.2;68;The Hunger Games;753513;-2012
1503;8.3;88;Up;751451;-2009
662;8.3;89;Eternal Sunshine of the Spotless Mind;743537;-2004
2497;8.1;81;Star Wars: The Force Awakens;697596;-2015
1336;8.0;86;Slumdog Millionaire;695212;-2008
830;8.0;74;Sin City;692319;-2005
162;8.2;72;A Beautiful Mind;689367;-2001
1168;8.1;91;No Country for Old Men;686641;-2007
2011;7.9;58;The Hobbit: An Unexpected Journey;684254;-2012
2651;8.0;65;Deadpool;681534;-2016
2498;8.1;90;Mad Max: Fury Road;672599;-2015
2334;8.1;79;Gone Girl;669443;-2014
2;8.3;55;Snatch;660573;-2000
163;8.1;78;Monsters, Inc.;659105;-2001
1001;7.7;52;300;652857;-2006
2172;7.8;96;Gravity;644527;-2013
164;8.1;88;Donnie Darko;641725;-2001
3;8.3;68;Requiem for a Dream;636814;-2000
1504;7.8;73;The Hangover;627096;-2009
327;8.1;76;Catch Me If You Can;620759;-2002
1836;8.1;87;Harry Potter and the Deathly Hallows: Part 2;615831;-2011
1337;8.2;72;Gran Torino;615064;-2008
2173;7.2;62;Iron Man 3;611103;-2013
1668;8.3;92;Toy Story 3;609483;-2010
1669;8.0;79;Black Swan;599193;-2010
2174;7.1;55;Man of Steel;598267;-2013
1837;7.0;57;Thor;594553;-2011
165;8.3;69;Amélie;592689;-2001
328;7.3;73;Spider-Man;591074;-2002
2499;8.0;80;The Martian;589349;-2015
1838;8.6;57;The Intouchables;587637;-2011
329;8.6;79;City of God;585588;-2002
1169;7.2;65;I Am Legend;585123;-2007
2012;7.8;81;Silver Linings Playbook;580058;-2012
1670;7.0;57;Iron Man 2;577137;-2010
831;7.6;68;Star Wars: Episode III - Revenge of the Sith;575642;-2005
1002;7.3;53;Pirates of the Caribbean: Dead Man's Chest;572038;-2006
1505;8.0;81;District 9;570454;-2009
2335;8.0;74;X-Men: Days of Future Past;570440;-2014
1839;6.9;66;Captain America: The First Avenger;569947;-2011
2336;7.8;70;Captain America: The Winter Soldier;567205;-2014
1840;7.8;65;X-Men: First Class;565403;-2011
330;8.5;85;The Pianist;565065;-2002
663;8.0;83;Kill Bill: Vol. 2;560478;-2004
2013;7.8;81;Skyfall;559596;-2012
2337;8.1;88;The Grand Budapest Hotel;558044;-2014
2338;8.0;73;The Imitation Game;554587;-2014
1671;8.0;88;The King's Speech;549123;-2010
2500;7.4;66;Avengers: Age of Ultron;546258;-2015
1672;8.1;74;How to Train Your Dragon;543863;-2010
1170;7.1;61;Transformers;543671;-2007
1171;8.1;85;The Bourne Ultimatum;541676;-2007
2175;7.5;76;The Hunger Games: Catching Fire;540061;-2013
1506;8.0;82;Star Trek;535351;-2009
664;8.1;86;Million Dollar Baby;533789;-2004
2501;8.0;76;The Revenant;531123;-2015
2176;7.9;66;The Hobbit: The Desolation of Smaug;528453;-2013
1673;7.7;95;The Social Network;526762;-2010
665;8.0;90;The Incredibles;526184;-2004
1172;8.0;96;Ratatouille;521207;-2007
1173;7.1;50;Pirates of the Caribbean: At World's End;518276;-2007
1003;8.2;98;Pan's Labyrinth;516931;-2006
331;6.6;54;Star Wars: Episode II - Attack of the Clones;515627;-2002
1507;7.6;57;Sherlock Holmes;515454;-2009
2339;8.5;88;Whiplash;513207;-2014
1338;7.8;50;Taken;512457;(I) (2008)
2177;7.0;63;World War Z;511770;-2013
166;7.9;84;Shrek;510987;-2001
2178;8.1;96;12 Years a Slave;510489;-2013
2179;7.3;50;Now You See Me;510199;(I) (2013)
2652;6.6;44;Batman v Superman: Dawn of Justice;508513;-2016
1004;8.0;80;Casino Royale;507168;-2006
2014;7.0;65;Prometheus;507140;(I) (2012)
2015;7.0;62;Ted;506854;-2012
167;7.5;64;Harry Potter and the Sorcerer's Stone;504824;-2001
1339;7.8;70;The Curious Case of Benjamin Button;500185;-2008
4;7.4;64;X-Men;496715;-2000
2016;7.7;86;Argo;495516;-2012
2340;7.9;71;Edge of Tomorrow;492711;-2014
2017;7.0;66;The Amazing Spider-Man;488193;-2012
2018;7.9;79;Life of Pi;487719;-2012
168;8.6;96;Spirited Away;482985;-2001
2341;7.7;60;Kingsman: The Secret Service;480187;-2014
1841;7.8;78;Drive;478594;(I) (2011)
1174;8.1;73;Into the Wild;476902;-2007
2502;7.0;59;Jurassic World;474103;-2015
1674;7.7;66;Kick-Ass;468713;-2010
2180;7.5;74;Frozen;468712;(I) (2013)
2019;7.4;84;Looper;465567;-2012
2181;7.0;54;Thor: The Dark World;464390;-2013
2342;7.8;88;Birdman or (The Unexpected Virtue of Ignorance);461185;-2014
1842;7.4;59;Limitless;458041;(I) (2011)
2182;8.1;74;Prisoners;457860;-2013
666;7.3;83;Spider-Man 2;455267;-2004
1175;7.6;76;Superbad;453476;-2007
2653;7.9;75;Captain America: Civil War;453174;-2016
501;7.2;62;The Matrix Reloaded;449572;-2003
2654;6.1;40;Suicide Squad;448683;-2016
2503;8.2;94;Inside Out;447796;(I) (2015)
332;7.9;68;The Bourne Identity;445629;-2002
2020;7.2;69;21 Jump Street;445319;-2012
502;7.5;68;X-Men 2;444595;-2003
1843;7.6;68;Rise of the Planet of the Apes;444475;-2011
